0.1 : 1.005, 1.993, 5.503, 3.539, 1.408, 124.903, 0.742
0.2 : 1.001, 2.005, 4.940, 5.369, 1.407, 124.900, 0.738
0.3 : 0.997, 2.049, 4.608, 6.166, 1.406, 124.899, 0.735
0.4 : 0.993, 2.055, 4.381, 10.633, 1.405, 124.897, 0.733
0.5 : 0.989, 2.121, 4.209, 4.935, 1.405, 124.896, 0.730
0.6 : 0.986, 2.048, 4.054, 69.416, 1.404, 124.895, 0.729
0.7 : 0.982, 2.140, 3.936, 11.106, 1.404, 124.894, 0.726
0.8 : 0.979, 2.147, 3.830, 27.416, 1.403, 124.893, 0.725
1.0 : 0.973, 2.233, 3.655, 76.675, 1.402, 124.891, 0.722
1.1 : 0.972, 2.747, 3.570, 79.962, 1.401, 124.890, 0.721
1.2 : 0.968, 3.098, 3.506, 75.601, 1.401, 124.889, 0.719
1.4 : 0.962, 3.515, 3.394, 83.016, 1.401, 124.888, 0.716
1.6 : 0.957, 4.213, 3.292, 85.754, 1.400, 124.886, 0.713
1.8 : 0.953, 2.254, 3.197, 59.643, 1.399, 124.885, 0.711
2.0 : 0.949, 2.272, 3.122, 47.726, 1.399, 124.884, 0.709
3.0 : 0.930, 2.928, 2.824, 77.198, 1.396, 124.878, 0.700
4.0 : 0.914, 3.315, 2.619, 86.100, 1.394, 124.874, 0.692
5.0 : 0.902, 3.283, 2.467, 66.694, 1.391, 124.869, 0.685
6.0 : 0.910, 2.761, 2.288, 81.064, 1.382, 124.866, 0.689
7.0 : 0.899, 2.601, 2.192, 82.860, 1.380, 124.862, 0.684
8.0 : 0.888, 4.192, 2.120, 83.770, 1.377, 124.859, 0.680
9.0 : 0.877, 3.485, 2.059, 82.229, 1.375, 124.856, 0.675
10.0 : 0.867, 3.503, 2.006, 82.279, 1.374, 124.853, 0.671
noint : 1.005, 1.855, 8.143, 3.019, 1.412, 124.908, 0.750
alpha : -0.01724, 0.0078070
