0.1 : 0.901, 1.576, 5.592, 292.714, 1.629, 124.884, 1.005
0.2 : 0.902, 1.696, 4.782, 298.027, 1.624, 124.877, 1.003
0.3 : 0.900, 1.772, 4.330, 299.850, 1.621, 124.872, 1.000
0.4 : 0.900, 1.888, 3.995, 267.202, 1.618, 124.868, 0.998
0.5 : 0.899, 2.038, 3.754, 265.255, 1.615, 124.864, 0.997
0.6 : 0.893, 1.889, 3.589, 9.829, 1.615, 124.860, 0.991
0.7 : 0.892, 1.949, 3.416, 9.044, 1.613, 124.857, 0.989
0.8 : 0.890, 2.016, 3.291, 7.749, 1.612, 124.854, 0.987
1.0 : 0.886, 2.038, 3.074, 36.530, 1.609, 124.849, 0.983
1.1 : 0.884, 2.069, 2.984, 294.918, 1.608, 124.846, 0.981
1.2 : 0.882, 2.105, 2.905, 295.187, 1.607, 124.844, 0.979
1.4 : 0.878, 2.130, 2.768, 18.981, 1.606, 124.839, 0.975
1.6 : 0.873, 2.106, 2.655, 299.997, 1.604, 124.835, 0.971
1.8 : 0.870, 3.599, 2.553, 103.012, 1.602, 124.831, 0.968
2.0 : 0.866, 4.006, 2.469, 127.707, 1.601, 124.827, 0.964
3.0 : 0.854, 2.697, 2.145, 1.244, 1.594, 124.811, 0.952
4.0 : 0.858, 3.175, 1.882, 194.522, 1.583, 124.797, 0.952
5.0 : 0.850, 8.717, 1.729, 135.408, 1.577, 124.785, 0.944
6.0 : 0.839, 4.453, 1.621, 144.245, 1.573, 124.774, 0.936
7.0 : 0.830, 4.436, 1.531, 148.058, 1.569, 124.764, 0.929
8.0 : 0.825, 4.161, 1.447, 150.627, 1.565, 124.754, 0.923
9.0 : 0.815, 4.671, 1.390, 150.796, 1.562, 124.745, 0.916
10.0 : 0.781, 1.233, 1.425, 1.869, 1.553, 124.737, 0.906
noint : 0.898, 1.525, 9.594, 6.227, 1.640, 124.900, 1.011
alpha : -0.05168, 0.0105855
